assembly,classification,fastani_ani,fastani_af,closest_placement_ani,closest_placement_af,msa_percent,classification_method,species
SRR9206178.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,99.08,0.87,99.08,0.87,96.15,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9206179.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.96,0.83,98.96,0.83,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206183.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.96,0.84,98.96,0.84,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206184.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.97,0.83,98.97,0.83,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206185.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.99,0.83,98.99,0.83,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206189.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.97,0.85,98.97,0.85,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206191.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.96,0.84,98.96,0.84,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206195.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.19,0.85,97.19,0.85,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206196.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.3,0.84,97.3,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206197.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.99,0.84,98.99,0.84,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206200.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.25,0.84,97.25,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206203.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.98,0.84,98.98,0.84,94.86,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206206.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,99.54,0.91,99.54,0.91,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206208.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,97.83,0.8,97.83,0.8,98.09,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206214.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae,99.3,0.88,99.3,0.88,97.3,taxonomic classification defined by topology and ANI,Bacteroides caccae
SRR9206215.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae,99.28,0.88,99.28,0.88,97.3,taxonomic classification defined by topology and ANI,Bacteroides caccae
SRR9206217.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,98.55,0.87,98.55,0.87,96.21,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206218.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii,98.71,0.81,98.71,0.81,92.61,taxonomic classification defined by topology and ANI,Alistipes shahii
SRR9206220.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.76,0.79,98.76,0.79,80.27,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206222.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae,99.29,0.88,99.29,0.88,97.3,taxonomic classification defined by topology and ANI,Bacteroides caccae
SRR9206224.asm1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila,97.56,0.91,97.56,0.91,92.69,taxonomic classification defined by topology and ANI,Akkermansia muciniphila
SRR9206226.asm1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila,97.56,0.91,97.56,0.91,92.69,taxonomic classification defined by topology and ANI,Akkermansia muciniphila
SRR9206234.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,98.68,0.84,98.68,0.84,96.15,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9206235.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,98.65,0.84,98.65,0.84,96.15,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9206245.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,97.02,0.75,97.02,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9206247.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.78,0.74,96.78,0.74,98.07,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9206252.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,98.51,0.82,98.51,0.82,98.09,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9206259.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.17,0.84,97.17,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206269.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.23,0.84,97.23,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206270.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.96,0.84,98.96,0.84,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206274.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,99.06,0.87,99.06,0.87,96.15,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9206279.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,99.08,0.87,99.08,0.87,96.15,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9206286.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,99.0,0.85,99.0,0.85,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206290.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.98,0.84,98.98,0.84,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206296.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.26,0.84,97.26,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206302.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.23,0.84,97.23,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206303.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.22,0.85,97.22,0.85,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206304.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecis,98.94,0.85,98.94,0.85,97.38,taxonomic classification defined by topology and ANI,Bacteroides faecis
SRR9206305.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecis,98.94,0.85,98.94,0.85,97.38,taxonomic classification defined by topology and ANI,Bacteroides faecis
SRR9206312.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.97,0.84,98.97,0.84,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206313.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,99.01,0.84,99.01,0.84,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206317.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.23,0.84,97.23,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206319.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae,99.02,0.85,99.02,0.85,94.82,taxonomic classification defined by topology and ANI,Bacteroides salyersiae
SRR9206320.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae,98.99,0.85,98.99,0.85,96.47,taxonomic classification defined by topology and ANI,Bacteroides salyersiae
SRR9206322.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae,99.07,0.88,99.07,0.88,96.47,taxonomic classification defined by topology and ANI,Bacteroides salyersiae
SRR9206330.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris,97.77,0.75,97.77,0.75,97.22,taxonomic classification defined by topology and ANI,Bacteroides stercoris
SRR9206332.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.23,0.84,97.23,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206338.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.21,0.84,97.21,0.84,96.15,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206339.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.19,0.84,97.19,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206341.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.25,0.84,97.25,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206344.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.21,0.85,97.21,0.85,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206346.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.21,0.85,97.21,0.85,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206348.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.25,0.84,97.25,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206349.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.76,0.74,96.76,0.74,97.58,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9206360.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.91,0.75,96.91,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9206363.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.91,0.75,96.91,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9206366.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.28,0.84,97.28,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206367.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.22,0.84,97.22,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206371.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.24,0.84,97.24,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206372.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.26,0.84,97.26,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206387.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,98.72,0.84,98.72,0.84,96.15,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9206388.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,98.67,0.84,98.67,0.84,95.33,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9206389.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,99.06,0.89,99.06,0.89,96.13,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9206390.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,99.04,0.89,99.04,0.89,96.9,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9206394.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,98.69,0.84,98.69,0.84,96.15,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9206395.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,99.02,0.89,99.02,0.89,96.9,taxonomic classification defined by topology and ANI,Bacteroides fragilis
SRR9206397.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecis,99.02,0.84,99.02,0.84,96.55,taxonomic classification defined by topology and ANI,Bacteroides faecis
SRR9206399.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,97.0,0.75,97.0,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9206405.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae,99.09,0.88,99.09,0.88,96.47,taxonomic classification defined by topology and ANI,Bacteroides salyersiae
SRR9206407.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae,99.07,0.89,99.07,0.89,96.47,taxonomic classification defined by topology and ANI,Bacteroides salyersiae
SRR9206423.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.99,0.84,98.99,0.84,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206426.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae,99.28,0.89,99.28,0.89,97.3,taxonomic classification defined by topology and ANI,Bacteroides caccae
SRR9206427.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae,99.12,0.87,99.12,0.87,98.01,taxonomic classification defined by topology and ANI,Bacteroides caccae
SRR9206431.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae,99.77,0.91,99.77,0.91,98.01,taxonomic classification defined by topology and ANI,Bacteroides caccae
SRR9206439.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.97,0.85,98.97,0.85,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206441.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.99,0.81,98.99,0.81,79.81,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206443.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.93,0.83,98.93,0.83,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206445.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.97,0.85,98.97,0.85,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206446.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.98,0.84,98.98,0.84,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206447.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.99,0.84,98.99,0.84,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206453.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.27,0.84,97.27,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206455.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.25,0.84,97.25,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206456.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.23,0.85,97.23,0.85,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206458.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.22,0.84,97.22,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206459.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.24,0.84,97.24,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206461.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.27,0.84,97.27,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206466.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.28,0.81,97.28,0.81,94.54,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206468.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii,99.22,0.86,99.22,0.86,98.11,taxonomic classification defined by topology and ANI,Bacteroides finegoldii
SRR9206471.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii,99.24,0.86,99.24,0.86,98.11,taxonomic classification defined by topology and ANI,Bacteroides finegoldii
SRR9206473.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii,99.19,0.86,99.19,0.86,96.53,taxonomic classification defined by topology and ANI,Bacteroides finegoldii
SRR9206474.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii,99.21,0.86,99.21,0.86,94.08,taxonomic classification defined by topology and ANI,Bacteroides finegoldii
SRR9206475.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii,99.22,0.87,99.22,0.87,98.11,taxonomic classification defined by topology and ANI,Bacteroides finegoldii
SRR9206479.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,97.25,0.84,97.25,0.84,96.19,taxonomic classification defined by topology and ANI,Alistipes onderdonkii
SRR9206484.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris,97.54,0.72,97.54,0.72,96.37,taxonomic classification defined by topology and ANI,Bacteroides stercoris
SRR9206489.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.97,0.84,98.97,0.84,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206496.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,98.99,0.84,98.99,0.84,96.49,taxonomic classification defined by topology and ANI,Bacteroides thetaiotaomicron
SRR9206497.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris,98.28,0.75,98.28,0.75,96.39,taxonomic classification defined by topology and ANI,Bacteroides stercoris
SRR9206504.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.93,0.75,96.93,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9206505.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.99,0.75,96.99,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9206507.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.96,0.75,96.96,0.75,97.26,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9206510.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.59,0.76,96.59,0.76,96.51,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9206512.asm1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,96.6,0.76,96.6,0.76,96.51,taxonomic classification defined by topology and ANI,Bacteroides ovatus
SRR9219813.asm1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae,98.69,0.92,98.69,0.92,97.42,taxonomic classification defined by topology and ANI,Enterococcus hirae
SRR9219816.asm1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae,98.65,0.92,98.65,0.92,97.42,taxonomic classification defined by topology and ANI,Enterococcus hirae
